 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
191,295.69,109.98,185.71,248599,0,ATG9Cargo,04-Registered,postRapalog_TPDmut_DAGLB/
192,222.30,109.98,112.32,241269,1,ATG9Cargo,04-Registered,postRapalog_TPDmut_DAGLB/
193,1996.86,145.85,1851.01,187602,0,FKBPTagPOI,05-Registered,postRapalog_TPDmut_DAGLB/
194,853.41,145.85,707.57,200691,1,FKBPTagPOI,05-Registered,postRapalog_TPDmut_DAGLB/
195,355.45,106.68,248.76,187602,0,ATG9Cargo,05-Registered,postRapalog_TPDmut_DAGLB/
196,295.89,106.68,189.20,200691,1,ATG9Cargo,05-Registered,postRapalog_TPDmut_DAGLB/
197,647.95,118.86,529.08,316290,0,FKBPTagPOI,06-Registered,postRapalog_TPDmut_DAGLB/
198,441.04,118.86,322.18,285067,1,FKBPTagPOI,06-Registered,postRapalog_TPDmut_DAGLB/
199,388.32,110.67,277.66,316290,0,ATG9Cargo,06-Registered,postRapalog_TPDmut_DAGLB/
200,259.86,110.67,149.19,285067,1,ATG9Cargo,06-Registered,postRapalog_TPDmut_DAGLB/
201,814.68,115.44,699.24,137724,0,FKBPTagPOI,07-Registered,postRapalog_TPDmut_DAGLB/
202,369.94,115.44,254.50,161130,1,FKBPTagPOI,07-Registered,postRapalog_TPDmut_DAGLB/
203,1176.66,109.93,1066.73,137724,0,ATG9Cargo,07-Registered,postRapalog_TPDmut_DAGLB/
204,992.88,109.93,882.95,161130,1,ATG9Cargo,07-Registered,postRapalog_TPDmut_DAGLB/
205,338.74,113.15,225.59,181271,0,FKBPTagPOI,08-Registered,postRapalog_TPDmut_DAGLB/
206,194.85,113.15,81.70,155173,1,FKBPTagPOI,08-Registered,postRapalog_TPDmut_DAGLB/
207,526.38,107.89,418.50,181271,0,ATG9Cargo,08-Registered,postRapalog_TPDmut_DAGLB/
208,311.81,107.89,203.92,155173,1,ATG9Cargo,08-Registered,postRapalog_TPDmut_DAGLB/
209,954.42,119.64,834.78,274246,0,FKBPTagPOI,09-Registered,postRapalog_TPDmut_DAGLB/
210,450.66,119.64,331.02,319345,1,FKBPTagPOI,09-Registered,postRapalog_TPDmut_DAGLB/
211,449.93,111.42,338.51,274246,0,ATG9Cargo,09-Registered,postRapalog_TPDmut_DAGLB/
212,389.78,111.42,278.36,319345,1,ATG9Cargo,09-Registered,postRapalog_TPDmut_DAGLB/
213,1147.11,115.96,1031.14,400069,0,FKBPTagPOI,10-Registered,postRapalog_TPDmut_DAGLB/
214,563.48,115.96,447.52,381801,1,FKBPTagPOI,10-Registered,postRapalog_TPDmut_DAGLB/
215,780.62,109.90,670.72,400069,0,ATG9Cargo,10-Registered,postRapalog_TPDmut_DAGLB/
216,572.29,109.90,462.39,381801,1,ATG9Cargo,10-Registered,postRapalog_TPDmut_DAGLB/
217,783.26,117.65,665.61,231543,0,FKBPTagPOI,11-Registered,postRapalog_TPDmut_DAGLB/
218,256.82,117.65,139.17,254390,1,FKBPTagPOI,11-Registered,postRapalog_TPDmut_DAGLB/
219,387.06,109.39,277.67,231543,0,ATG9Cargo,11-Registered,postRapalog_TPDmut_DAGLB/
220,271.17,109.39,161.78,254390,1,ATG9Cargo,11-Registered,postRapalog_TPDmut_DAGLB/
221,1153.03,115.52,1037.51,188370,0,FKBPTagPOI,12-Registered,postRapalog_TPDmut_DAGLB/
222,301.27,115.52,185.75,269064,1,FKBPTagPOI,12-Registered,postRapalog_TPDmut_DAGLB/
223,481.76,108.59,373.17,188370,0,ATG9Cargo,12-Registered,postRapalog_TPDmut_DAGLB/
224,285.67,108.59,177.08,269064,1,ATG9Cargo,12-Registered,postRapalog_TPDmut_DAGLB/
225,1240.09,141.55,1098.54,286317,0,FKBPTagPOI,13-Registered,postRapalog_TPDmut_DAGLB/
226,500.25,141.55,358.70,321371,1,FKBPTagPOI,13-Registered,postRapalog_TPDmut_DAGLB/
227,532.28,111.67,420.61,286317,0,ATG9Cargo,13-Registered,postRapalog_TPDmut_DAGLB/
228,348.50,111.67,236.83,321371,1,ATG9Cargo,13-Registered,postRapalog_TPDmut_DAGLB/
229,718.48,196.50,521.98,274639,0,FKBPTagPOI,14-Registered,postRapalog_TPDmut_DAGLB/
230,384.09,196.50,187.59,356451,1,FKBPTagPOI,14-Registered,postRapalog_TPDmut_DAGLB/
231,269.46,110.96,158.49,274639,0,ATG9Cargo,14-Registered,postRapalog_TPDmut_DAGLB/
232,234.57,110.96,123.61,356451,1,ATG9Cargo,14-Registered,postRapalog_TPDmut_DAGLB/
233,379.72,117.22,262.50,319244,0,FKBPTagPOI,15-Registered,postRapalog_TPDmut_DAGLB/
234,211.03,117.22,93.81,399303,1,FKBPTagPOI,15-Registered,postRapalog_TPDmut_DAGLB/
235,288.04,110.19,177.85,319244,0,ATG9Cargo,15-Registered,postRapalog_TPDmut_DAGLB/
236,212.91,110.19,102.72,399303,1,ATG9Cargo,15-Registered,postRapalog_TPDmut_DAGLB/
237,903.09,125.75,777.34,294465,0,FKBPTagPOI,16-Registered,postRapalog_TPDmut_DAGLB/
238,336.79,125.75,211.04,346439,1,FKBPTagPOI,16-Registered,postRapalog_TPDmut_DAGLB/
239,529.50,108.86,420.64,294465,0,ATG9Cargo,16-Registered,postRapalog_TPDmut_DAGLB/
