"Gene.names","logFC_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Ratio_H_L_count_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_Mix_CTRL.IgM.Immunoisolation","PEP","LFQ","FC10","uid"
"LMAN1",-0.576,4,8.452,7.292,0,283139199.579938,1.16,"49"
"LMAN2",-0.74,6,8.367,6.838,0,232809125.766501,1.529,"104"
"LMBRD2",-0.576,10,8.122,0,0,132434153.519466,1,"380"
"LMNB2",0.23,1,7.929,0,0.00173,84918047.5036314,1,"232"
"LNPEP",-0.924,18,8.057,0,0,114024978.756117,1,"447"
"LOC727761",-0.452,1,7.132,0,0.00011,13551894.1235103,1,"350"
"LOC728138",-0.853,3,7.743,0,0,55335010.9215737,1,"432"
"LRP1",-0.538,6,7.11,0,0,12882495.5169313,1,"370"
"LRRC40",0.421,1,6.79,0,0.00385,6165950.01861482,1,"212"
"LRRC59",-0.295,3,7.642,6.746,0,43853069.7774986,0.896,"119"
"LSM14B",0.584,3,7.124,6.011,0,13304544.1797809,1.113,"181"
"LSM3",0.135,2,7.416,6.806,0,26061535.499989,0.61,"109"
"LSM4",-0.445,2,7.065,0,0.00035,11614486.1384034,1,"347"
"LTV1",0.243,2,7.288,0,0,19408858.7759278,1,"230"
"LYVE1",0.095,1,7.502,0,0.00308,31768740.7064977,1,"257"
"LYZ",0,0,6.64,0,0.00033,4365158.32240166,1,"272"
"M6PR",-0.944,10,8.576,7.438,0,376703798.983909,1.138,"38"
"MAD1L1",0.683,2,6.924,0,0,8394599.86519398,1,"193"
"MAN1A1",-0.817,3,7.801,7.023,0,63241185.137622,0.778,"71"
"MAN2A1",-0.823,4,7.267,0,0,18492686.1897808,1,"426"
"MANEA",-1.209,3,7.782,0,0,60534087.4753914,1,"481"
"MARCKSL1",-0.342,1,6.859,0,0.00396,7227698.0360217,1,"331"
"MDH1",-0.253,3,7.802,7.089,0,63386971.1256926,0.712999999999999,"67"
"MDN1",0.149,20,7.807,6.594,0,64120957.6585162,1.213,"148"
"MESDC2",-1.592,1,6.873,0,0,7464487.58410067,1,"495"
"MGAT2",-1.07,4,7.79,0,0,61659500.1861482,1,"468"
"MHC class I",-0.554,1,7.338,0,0,21777097.7235316,1,"373"
"MIF",-0.339,1,7.304,0,0,20137242.4986239,1,"329"
"MMTAG2",0.468,1,6.728,0,1e-05,5345643.59396971,1,"208"
"MOB4",-1.11,4,7.958,0,0,90782053.0178186,1,"473"
"MSI2",0.788,2,7.134,0,0,13614446.8246595,1,"188"
"MTMR6",0.508,2,7.116,0,0,13061708.8813184,1,"205"
"MTMR9",0.596,3,7.481,0,0,30269134.281013,1,"196"
"MTOR",-0.011,10,7.64,6.846,0,43651583.2240166,0.794,"102"
"MYADM",-0.36,1,6.925,0,0,8413951.41645195,1,"335"
"MYEF2",0.123,1,7.154,0,0,14256075.9360219,1,"250"
"NAA10",0.187,1,7.268,0,0.00013,18535316.2341481,1,"240"
"NAA11",0.187,1,7.268,0,0.00013,18535316.2341481,1,"240"
"NAGPA",0.071,3,7.336,0,0,21677041.048197,1,"260"
"NAP1L1",-0.217,1,7.234,0,0,17139573.0750843,1,"302"
"NAPA",-0.286,10,8.377,0,0,238231946.935869,1,"315"
"Nbla00271",-0.933,9,8.501,7.43,0,316956746.304349,1.071,"39"
"Nbla03646",-0.286,2,7.274,0,0,18793168.1680327,1,"316"
"Nbla10236",0.061,2,7.36,6.518,1e-04,22908676.5276777,0.842,"156"
"NCAPG2",-0.633,1,6.351,0,0,2243881.92378277,1,"396"
"NCAPH2",0.476,1,6.854,0,6e-05,7144963.26075513,1,"207"
"NCSTN",-1.068,3,7.139,0,0,13772094.6889395,1,"467"
"NEK9",0.014,2,6.774,0,0.00022,5942921.58615573,1,"270"
"NF1",0.447,3,6.992,0,0,9817479.43019984,1,"210"
"NIPAL1",0.297,1,7.257,0,0,18071741.2601093,1,"219"
"NOGOC",-0.933,9,8.501,7.43,0,316956746.304349,1.071,"39"
"NPEPPS",-0.312,1,6.609,0,0,4064433.29165213,1,"323"
"NRAS",-0.185,3,7.488,0,0,30760968.1474071,1,"296"
"NSF",-0.064,43,9.34,7.99,0,2187761623.94955,1.35,"17"
"NUCB1",-1.743,3,7.397,0,0,24945947.2694296,1,"496"
"Nucb2",-1.541,3,7.493,0,0,31117163.3710602,1,"493"
"NUCB2",-1.541,3,7.493,0,0,31117163.3710602,1,"493"
"NUDT21",0.655,4,8.081,7.45,0,120503594.03718,0.630999999999999,"37"
"P14",0.737,1,6.863,0,0,7294575.1025457,1,"190"
"P4HB",-0.443,17,8.634,7.986,0,430526610.491711,0.648000000000001,"18"
"P5",-0.489,7,8.005,0,0,101157945.42599,1,"359"
"PACSIN2",0.29,4,7.456,0,0,28575905.4337495,1,"220"
